# Trajectory: (a) Clean single loop
# Generated by signal_gallery.py (seed=42; pool_index=777)
# Columns: F (A.U.); HR; s_F; s_HR
# F (A.U.) : flux (normalised to quiescent = 1)
# HR       : hardness ratio (normalised to quiescent = 1)
# s_F      : 1-sigma uncertainty on F (fractional: s_F  = sigma_noise * F)
# s_HR     : 1-sigma uncertainty on HR (fractional: s_HR = sigma_noise * HR)
# To analyse: python analyse_hysteresis.py signal_a.csv --K_null 10000
F (A.U.),HR,s_F,s_HR
1.036706,1.000000,0.051835,0.050000
1.319967,1.002346,0.065998,0.050117
1.373369,1.010678,0.068668,0.050534
1.524677,1.197042,0.076234,0.059852
1.580274,1.386811,0.079014,0.069341
1.289048,1.554254,0.064452,0.077713
1.040219,1.431397,0.052011,0.071570
1.006632,1.355336,0.050332,0.067767
1.000000,1.065194,0.050000,0.053260
1.000000,1.044922,0.050000,0.052246
