# Trajectory: (b) Incomplete path
# Generated by signal_gallery.py (seed=42; pool_index=225)
# Columns: F (A.U.); HR; s_F; s_HR
# F (A.U.) : flux (normalised to quiescent = 1)
# HR       : hardness ratio (normalised to quiescent = 1)
# s_F      : 1-sigma uncertainty on F (fractional: s_F  = sigma_noise * F)
# s_HR     : 1-sigma uncertainty on HR (fractional: s_HR = sigma_noise * HR)
# To analyse: python analyse_hysteresis.py signal_b.csv --K_null 10000
F (A.U.),HR,s_F,s_HR
1.066986,1.000000,0.053349,0.050000
1.217593,1.000039,0.060880,0.050002
1.319654,1.002323,0.065983,0.050116
1.334112,1.003619,0.066706,0.050181
1.406286,1.023487,0.070314,0.051174
1.511510,1.163186,0.075575,0.058159
1.562152,1.317207,0.078108,0.065860
1.597800,1.459330,0.079890,0.072966
1.602372,1.478805,0.080119,0.073940
1.350309,1.570981,0.067515,0.078549
