# Trajectory: (c) Figure-eight
# Generated by signal_gallery.py (seed=42; pool_index=839)
# Columns: F (A.U.); HR; s_F; s_HR
# F (A.U.) : flux (normalised to quiescent = 1)
# HR       : hardness ratio (normalised to quiescent = 1)
# s_F      : 1-sigma uncertainty on F (fractional: s_F  = sigma_noise * F)
# s_HR     : 1-sigma uncertainty on HR (fractional: s_HR = sigma_noise * HR)
# To analyse: python analyse_hysteresis.py signal_c.csv --K_null 10000
F (A.U.),HR,s_F,s_HR
1.105577,1.000000,0.055279,0.050000
1.180230,1.000005,0.059011,0.050000
1.440158,1.047946,0.072008,0.052397
1.597660,1.458733,0.079883,0.072937
1.680905,1.771129,0.084045,0.088556
1.772421,1.778191,0.088621,0.088910
1.786154,1.688946,0.089308,0.084447
1.785031,1.688239,0.089252,0.084412
1.709794,1.659175,0.085490,0.082959
1.000000,1.047096,0.050000,0.052355
