# Trajectory: (d) Overlapping paths
# Generated by signal_gallery.py (seed=42; pool_index=543)
# Columns: F (A.U.); HR; s_F; s_HR
# F (A.U.) : flux (normalised to quiescent = 1)
# HR       : hardness ratio (normalised to quiescent = 1)
# s_F      : 1-sigma uncertainty on F (fractional: s_F  = sigma_noise * F)
# s_HR     : 1-sigma uncertainty on HR (fractional: s_HR = sigma_noise * HR)
# To analyse: python analyse_hysteresis.py signal_d.csv --K_null 10000
F (A.U.),HR,s_F,s_HR
1.037628,1.000000,0.051881,0.050000
1.595484,1.449529,0.079774,0.072476
1.765355,1.783775,0.088268,0.089189
1.572517,1.624187,0.078626,0.081209
1.212667,1.530240,0.060633,0.076512
1.000153,1.246477,0.050008,0.062324
1.000012,1.195654,0.050001,0.059783
1.000000,1.075092,0.050000,0.053755
1.000000,1.071746,0.050000,0.053587
1.000000,1.059749,0.050000,0.052987
